Run,P,N,Time
1,1,5000,1.748903
2,1,5000,1.750587
3,1,5000,1.750951
1,2,7071,1.833567
2,2,7071,1.837810
3,2,7071,1.833028
1,4,10000,2.024031
2,4,10000,2.030200
3,4,10000,2.000542
1,8,14142,2.431451
2,8,14142,2.442766
3,8,14142,2.424815
1,12,17320,2.832598
2,12,17320,2.824899
3,12,17320,2.818080
1,16,20000,2.988885
2,16,20000,2.997864
3,16,20000,3.007806
1,20,22360,3.355895
2,20,22360,3.325359
3,20,22360,3.345499
1,24,24494,3.707251
2,24,24494,3.703635
3,24,24494,3.715378
1,48,34641,4.613755
2,48,34641,4.622739
3,48,34641,4.644673
