Run,P,N,Time
1,1,10000,3.788333
2,1,10000,3.807862
3,1,10000,3.781760
1,2,10000,2.029540
2,2,10000,2.039484
3,2,10000,2.039817
1,4,10000,1.178583
2,4,10000,1.177061
3,4,10000,1.181718
1,8,10000,0.750943
2,8,10000,0.750175
3,8,10000,0.750501
1,12,10000,0.598112
2,12,10000,0.597372
3,12,10000,0.599575
1,16,10000,0.489578
2,16,10000,0.491893
3,16,10000,0.490686
1,20,10000,0.463718
2,20,10000,0.456416
3,20,10000,0.460449
1,24,10000,0.448896
2,24,10000,0.448634
3,24,10000,0.451945
