P,N,mean,std,speedup,efficiency
1,10000,3.696667,0.25848224854523394,1.0,1.0
2,10000,2.032037,0.020693611284645266,1.8191927607617382,0.9095963803808691
4,10000,1.1396023333333334,0.023612548387104092,3.2438218945965653,0.8109554736491413
8,10000,0.6720536666666667,0.13506401430556303,5.500553279227205,0.6875691599034006
12,10000,0.598353,0.0011210990143604267,6.1780704701071105,0.5148392058422592
16,10000,0.4511083333333333,0.04323767901186804,8.194632479264037,0.5121645299540023
20,10000,0.46052033333333336,0.05433054088018391,8.027152619392123,0.40135763096960614
24,10000,0.388161,0.013482156021942485,9.523540489642185,0.39681418706842436
