P,N,mean,std,speedup,efficiency
1,5000,0.9623343333333333,0.02352983921180368,1.0,1.0
2,7071,1.0243149999999999,0.013064859279762586,1.8789812378679087,0.9394906189339544
4,10000,1.1514813333333331,0.009325493248795612,3.342943755927148,0.835735938981787
8,14142,1.422191,0.03417609116034189,5.413249462742112,0.676656182842764
16,20000,1.9490076666666667,0.0811567530051155,7.900096852706069,0.4937560532941293
20,22360,2.780556,0.0054970481169440265,6.921884208290237,0.3460942104145118
20,22361,2.897546,0.0155434423412342333,6.642409358355886,0.3321204679177943
24,24494,2.740601,0.06846914962229338,8.427357357017677,0.3511398898757365
24,24495,2.856774,0.28348772733438,8.0846521285898,0.33686050535790835
