P,N,mean,std,speedup,efficiency
1,10000,3.4675843333333334,0.002715825166194213,1.0,1.0
2,10000,1.7366320000000002,0.002973359884036801,1.996729493256679,0.9983647466283395
4,10000,0.870873,0.003591961581086272,3.9817336550028917,0.9954334137507229
8,10000,0.43785199999999996,0.004368774771031369,7.919535215856805,0.9899419019821006
12,10000,0.291775,0.001601523337326048,11.884446348499129,0.9903705290415941
16,10000,0.2193786666666667,0.0013740306886432145,15.806388041377465,0.9878992525860916
20,10000,0.17695566666666665,0.000556907831991373,19.595780110649187,0.9797890055324594
24,10000,0.157286,0.0025062775185521655,22.046363524619693,0.9185984801924872
48,10000,0.0801,0.0007965230693457652,43.29069080316271,0.9018893917325564
