P,N,mean,std,speedup,efficiency
1,5000,0.8680926666666666,0.001477665162793439,1.0,1.0
2,7071,0.869903,0.0003814223380978002,1.995837850120454,0.997918925060227
4,10000,0.8683466666666666,0.0017550684696995152,3.9988299603844855,0.9997074900961214
8,14142,0.867835,0.0023213489612722476,8.002375259505934,1.0002969074382417
12,17320,0.873056,0.002003391374644482,11.931779862918301,0.9943149885765251
16,20000,0.8720149999999999,0.0021343188609015567,15.928031819024522,0.9955019886890326
20,22360,0.8744193333333333,0.002763200378787829,19.855294446829095,0.9927647223414547
24,24494,0.879292,0.002028936420886574,23.69431770105949,0.9872632375441454
48,34641,0.9443706666666666,0.0212170687262245,44.122979959846276,0.9192287491634641
