P,N,mean,std,speedup,efficiency
1,10000,6.604698666666667,0.012454501288021511,1.0,1.0
2,10000,3.4716280000000004,0.005099237688125238,1.9024787986116791,0.9512393993058396
4,10000,1.928275,0.0011084317750768614,3.4251850315264507,0.8562962578816127
8,10000,1.1640666666666666,0.004186245613116139,5.673814787240135,0.7092268484050169
12,10000,0.8985850000000001,0.004974343876331824,7.350110080478381,0.6125091733731984
16,10000,0.7336870000000001,0.003264351237229236,9.00206582189226,0.5626291138682662
20,10000,0.6621316666666667,0.0026747144395866487,9.97490227271011,0.49874511363550555
24,10000,0.616384,0.0029891515518621187,10.715233793652441,0.44646807473551836
