Run,P,N,Time
1,1,2000,0.151927
2,1,2000,0.154056
3,1,2000,0.153619
4,1,2000,0.152224
5,1,2000,0.152236
6,1,2000,0.152320
7,1,2000,0.154281
8,1,2000,0.152564
9,1,2000,0.152569
10,1,2000,0.153076
1,2,2000,0.082421
2,2,2000,0.083404
3,2,2000,0.083262
4,2,2000,0.083323
5,2,2000,0.082557
6,2,2000,0.082726
7,2,2000,0.082536
8,2,2000,0.082491
9,2,2000,0.082561
10,2,2000,0.083115
1,4,2000,0.050773
2,4,2000,0.051091
3,4,2000,0.050871
4,4,2000,0.050588
5,4,2000,0.050833
6,4,2000,0.050052
7,4,2000,0.050472
8,4,2000,0.049888
9,4,2000,0.051142
10,4,2000,0.050340
1,8,2000,0.036157
2,8,2000,0.037581
3,8,2000,0.037809
4,8,2000,0.035568
5,8,2000,0.035994
6,8,2000,0.037118
7,8,2000,0.034776
8,8,2000,0.034444
9,8,2000,0.038268
10,8,2000,0.036548
1,12,2000,0.030655
2,12,2000,0.032543
3,12,2000,0.031862
4,12,2000,0.031064
5,12,2000,0.033051
6,12,2000,0.031471
7,12,2000,0.031141
8,12,2000,0.032094
9,12,2000,0.031657
10,12,2000,0.030960
1,16,2000,0.027915
2,16,2000,0.028453
3,16,2000,0.027876
4,16,2000,0.049966
5,16,2000,0.026884
6,16,2000,0.027358
7,16,2000,0.027657
8,16,2000,0.028711
9,16,2000,0.028731
10,16,2000,0.028487
1,20,2000,0.025344
2,20,2000,0.025178
3,20,2000,0.027093
4,20,2000,0.026178
5,20,2000,0.025900
6,20,2000,0.026684
7,20,2000,0.026329
8,20,2000,0.054892
9,20,2000,0.027284
10,20,2000,0.024912
1,24,2000,0.023437
2,24,2000,0.023320
3,24,2000,0.023500
4,24,2000,0.022998
5,24,2000,0.023992
6,24,2000,0.024005
7,24,2000,0.024076
8,24,2000,0.023472
9,24,2000,0.024679
10,24,2000,0.024012
