Run,P,N,Time
1,1,2000,0.152309
2,1,2000,0.151290
3,1,2000,0.152031
4,1,2000,0.151998
5,1,2000,0.151903
6,1,2000,0.151696
7,1,2000,0.152273
8,1,2000,0.152226
9,1,2000,0.151924
10,1,2000,0.152118
1,2,2000,0.082554
2,2,2000,0.081843
3,2,2000,0.082712
4,2,2000,0.082117
5,2,2000,0.082567
6,2,2000,0.082393
7,2,2000,0.083783
8,2,2000,0.082659
9,2,2000,0.082436
10,2,2000,0.082803
1,4,2000,0.049663
2,4,2000,0.050256
3,4,2000,0.051318
4,4,2000,0.050123
5,4,2000,0.051093
6,4,2000,0.050840
7,4,2000,0.050011
8,4,2000,0.049608
9,4,2000,0.049748
10,4,2000,0.052244
1,8,2000,0.035704
2,8,2000,0.036716
3,8,2000,0.036336
4,8,2000,0.035628
5,8,2000,0.035444
6,8,2000,0.036289
7,8,2000,0.035795
8,8,2000,0.036367
9,8,2000,0.035653
10,8,2000,0.034614
1,12,2000,0.029728
2,12,2000,0.031465
3,12,2000,0.029789
4,12,2000,0.031845
5,12,2000,0.029993
6,12,2000,0.029479
7,12,2000,0.031184
8,12,2000,0.030660
9,12,2000,0.030222
10,12,2000,0.030488
1,16,2000,0.027932
2,16,2000,0.025596
3,16,2000,0.027694
4,16,2000,0.027846
5,16,2000,0.082899
6,16,2000,0.026760
7,16,2000,0.026461
8,16,2000,0.029038
9,16,2000,0.060395
10,16,2000,0.026704
1,20,2000,0.067286
2,20,2000,0.024118
3,20,2000,0.025188
4,20,2000,0.081784
5,20,2000,0.168816
6,20,2000,0.225321
7,20,2000,0.094053
8,20,2000,0.055303
9,20,2000,0.134811
10,20,2000,0.070923
1,24,2000,0.025235
2,24,2000,0.025161
3,24,2000,0.024297
4,24,2000,0.022717
5,24,2000,0.023984
6,24,2000,0.024532
7,24,2000,0.022933
8,24,2000,0.025482
9,24,2000,0.025128
10,24,2000,0.022977
