Run,P,N,Time
1,1,2000,0.152847
2,1,2000,0.153289
3,1,2000,0.152642
4,1,2000,0.152099
5,1,2000,0.152083
6,1,2000,0.152696
7,1,2000,0.152983
8,1,2000,0.152303
9,1,2000,0.151980
10,1,2000,0.153269
1,2,2828,0.164519
2,2,2828,0.163577
3,2,2828,0.163879
4,2,2828,0.164618
5,2,2828,0.163763
6,2,2828,0.164556
7,2,2828,0.166008
8,2,2828,0.164299
9,2,2828,0.163597
10,2,2828,0.164119
1,4,4000,0.190247
2,4,4000,0.187642
3,4,4000,0.188872
4,4,4000,0.187996
5,4,4000,0.188898
6,4,4000,0.189216
7,4,4000,0.188244
8,4,4000,0.189875
9,4,4000,0.188856
10,4,4000,0.188382
1,8,5656,0.239991
2,8,5656,0.238396
3,8,5656,0.242146
4,8,5656,0.239310
5,8,5656,0.239682
6,8,5656,0.239346
7,8,5656,0.241850
8,8,5656,0.239148
9,8,5656,0.238203
10,8,5656,0.238672
1,12,6928,0.292344
2,12,6928,0.288352
3,12,6928,0.292218
4,12,6928,0.290001
5,12,6928,0.285347
6,12,6928,0.289150
7,12,6928,0.292042
8,12,6928,0.289836
9,12,6928,0.291754
10,12,6928,0.290768
1,16,8000,0.330891
2,16,8000,0.329051
3,16,8000,0.331207
4,16,8000,0.331612
5,16,8000,0.331161
6,16,8000,0.329763
7,16,8000,0.330229
8,16,8000,0.329628
9,16,8000,0.329782
10,16,8000,0.330995
1,20,8944,0.373620
2,20,8944,0.378272
3,20,8944,0.379755
4,20,8944,0.377596
5,20,8944,0.378028
6,20,8944,0.378031
7,20,8944,0.378362
8,20,8944,0.378525
9,20,8944,0.378378
10,20,8944,0.374952
1,24,9798,0.423517
2,24,9798,0.430570
3,24,9798,0.425412
4,24,9798,0.427538
5,24,9798,0.426334
6,24,9798,0.427560
7,24,9798,0.426250
8,24,9798,0.428277
9,24,9798,0.425522
10,24,9798,0.429058
