Run,P,N,Time
1,1,2000,0.152461
2,1,2000,0.152479
3,1,2000,0.151881
4,1,2000,0.152139
5,1,2000,0.152071
6,1,2000,0.152589
7,1,2000,0.151912
8,1,2000,0.152547
9,1,2000,0.151871
10,1,2000,0.151897
1,2,2828,0.164412
2,2,2828,0.164027
3,2,2828,0.162781
4,2,2828,0.164733
5,2,2828,0.163989
6,2,2828,0.163379
7,2,2828,0.163474
8,2,2828,0.163247
9,2,2828,0.162803
10,2,2828,0.163618
1,4,4000,0.188609
2,4,4000,0.191110
3,4,4000,0.188861
4,4,4000,0.187583
5,4,4000,0.188128
6,4,4000,0.189560
7,4,4000,0.186371
8,4,4000,0.187791
9,4,4000,0.188656
10,4,4000,0.187043
1,8,5656,0.238504
2,8,5656,0.242739
3,8,5656,0.239432
4,8,5656,0.240412
5,8,5656,0.241753
6,8,5656,0.238126
7,8,5656,0.242460
8,8,5656,0.237898
9,8,5656,0.240891
10,8,5656,0.237247
1,12,6928,0.295292
2,12,6928,0.287340
3,12,6928,0.295355
4,12,6928,0.290534
5,12,6928,0.293513
6,12,6928,0.290070
7,12,6928,0.291517
8,12,6928,0.291414
9,12,6928,0.292025
10,12,6928,0.296426
1,16,8000,0.329148
2,16,8000,0.336266
3,16,8000,0.331835
4,16,8000,0.332850
5,16,8000,0.335864
6,16,8000,0.331689
7,16,8000,0.336259
8,16,8000,0.328767
9,16,8000,0.328539
10,16,8000,0.329976
1,20,8944,0.380846
2,20,8944,0.381698
3,20,8944,0.376636
4,20,8944,0.379617
5,20,8944,0.379958
6,20,8944,0.386715
7,20,8944,0.381828
8,20,8944,0.388359
9,20,8944,0.386170
10,20,8944,0.389308
1,24,9798,0.425606
2,24,9798,0.429738
3,24,9798,0.423818
4,24,9798,0.427037
5,24,9798,0.430207
6,24,9798,0.434419
7,24,9798,0.427710
8,24,9798,0.425483
9,24,9798,0.428759
10,24,9798,0.427728
