Run,P,N,Time
1,1,5000,1.653092
2,1,5000,1.651509
3,1,5000,1.652949
1,2,7071,1.736124
2,2,7071,1.735167
3,2,7071,1.735633
1,4,10000,1.920410
2,4,10000,1.950206
3,4,10000,2.031821
1,8,14142,2.325904
2,8,14142,2.448678
3,8,14142,2.315907
1,12,17320,2.851870
2,12,17320,2.768453
3,12,17320,2.840829
1,16,20000,2.847539
2,16,20000,3.016066
3,16,20000,2.910144
1,20,22360,3.337802
2,20,22360,3.268983
3,20,22360,3.233038
1,24,24494,3.714298
2,24,24494,3.721131
3,24,24494,3.714830
