P,N,mean,std,speedup,efficiency
1,5000,0.948179,0.0015518798278216911,1.0,1.0
2,7071,1.024525,0.0015830138976016274,1.8509631292550208,0.9254815646275104
4,10000,1.191333,0.0007579782318773979,3.1835901464997614,0.7958975366249403
8,14142,1.536346,0.0017421489603360464,4.937320108881723,0.6171650136102154
12,17320,1.870999,0.004132721984358541,6.0813223310114015,0.5067768609176168
16,20000,1.9983073333333332,0.005375851591453618,7.591857241845682,0.47449107761535514
20,22360,2.2752323333333333,0.00989844787496178,8.334788373993161,0.4167394186996581
24,24494,2.564044,0.006849932335432158,8.875158148612115,0.3697982561921715
48,34641,4.609690666666666,0.008458309602593883,9.873242109087291,0.20569254393931857
