P,N,mean,std,speedup,efficiency
1,10000,3.7963316666666667,0.004819095904143379,1.0,1.0
2,10000,2.0472553333333336,0.004278427320094681,1.8543518264942036,0.9271759132471018
4,10000,1.1888153333333333,0.005400697763560968,3.193373739571551,0.7983434348928877
8,10000,0.7644013333333333,0.004256467588662374,4.966411623213635,0.6208014529017044
12,10000,0.6132546666666666,0.0013574904542328684,6.19046519010047,0.5158720991750392
16,10000,0.5108233333333333,0.0010685721002035382,7.431789855592606,0.46448686597453787
20,10000,0.46839433333333336,0.0025318345785878865,8.104990595530973,0.40524952977654866
24,10000,0.44143366666666667,0.0010337143383611022,8.600004832738177,0.35833353469742407
48,10000,0.4001786666666667,0.014337714787696583,9.486591822319363,0.1976373296316534
